"ip","app","device","os","channel","click_time","attributed_time","is_attributed"
103035,14,1,19,442,"2017-11-08 00:52:54","",0
60037,9,1,20,134,"2017-11-07 16:38:52","",0
95820,12,1,13,497,"2017-11-06 20:00:01","",0
15315,3,1,36,371,"2017-11-08 01:11:52","",0
1092,12,1,19,245,"2017-11-07 17:24:34","",0
92852,3,1,13,379,"2017-11-08 13:22:53","",0
162366,3,1,19,424,"2017-11-07 03:55:44","",0
67393,2,1,13,435,"2017-11-07 09:38:07","",0
309031,12,1,13,140,"2017-11-09 13:20:40","",0
109735,9,1,11,466,"2017-11-08 12:38:48","",0
224810,3,1,19,317,"2017-11-08 07:12:12","",0
43855,18,1,13,439,"2017-11-08 07:36:08","",0
121701,15,1,13,245,"2017-11-07 17:45:57","",0
12814,2,1,22,236,"2017-11-09 05:02:04","",0
103739,3,1,22,205,"2017-11-09 00:10:06","",0
37375,1,1,19,349,"2017-11-08 07:25:43","",0
345539,2,1,13,236,"2017-11-09 05:12:58","",0
216318,8,1,22,145,"2017-11-09 10:17:46","",0
26537,12,1,16,328,"2017-11-07 05:05:58","",0
55106,15,1,19,315,"2017-11-07 12:00:56","",0
213294,3,1,13,409,"2017-11-09 06:10:08","",0
48212,3,1,22,137,"2017-11-09 12:00:40","",0
36104,3,1,19,280,"2017-11-08 02:28:50","",0
83206,15,1,13,245,"2017-11-09 07:11:23","",0
123586,3,1,31,211,"2017-11-09 05:13:30","",0
280067,21,2,13,232,"2017-11-09 07:14:13","",0
106308,2,1,34,258,"2017-11-07 06:23:50","",0
31379,12,2,9,178,"2017-11-07 11:17:17","",0
122432,12,1,8,178,"2017-11-09 02:24:45","",0
112907,3,1,4,205,"2017-11-09 09:16:09","",0
19091,3,1,14,280,"2017-11-08 05:47:10","",0
33843,13,1,19,469,"2017-11-08 14:05:10","",0
8808,9,1,13,334,"2017-11-07 09:43:08","",0
12979,3,1,19,280,"2017-11-07 04:57:14","",0
77730,2,1,19,237,"2017-11-08 03:20:29","",0
156818,12,1,13,245,"2017-11-07 01:50:01","",0
13756,9,1,19,445,"2017-11-07 14:05:41","",0
95962,9,1,19,334,"2017-11-07 13:36:42","",0
100182,12,1,18,497,"2017-11-08 03:20:57","",0
118315,21,1,6,232,"2017-11-08 13:05:42","",0
30831,27,1,6,122,"2017-11-08 14:39:50","",0
79827,2,1,12,122,"2017-11-08 06:56:16","",0
124528,64,1,10,459,"2017-11-08 11:55:35","",0
137052,15,1,37,315,"2017-11-09 06:57:59","",0
806,12,1,19,265,"2017-11-08 10:31:55","",0
256987,3,1,40,280,"2017-11-09 02:03:48","",0
98158,3,1,19,130,"2017-11-07 05:47:44","",0
127583,3,1,2,371,"2017-11-07 01:19:52","",0
85536,18,1,10,107,"2017-11-08 04:22:30","",0
125362,10,1,19,317,"2017-11-07 01:31:30","",0
75539,12,1,1,409,"2017-11-07 13:26:29","",0
100701,23,1,13,153,"2017-11-08 00:25:45","",0
5348,3,1,13,137,"2017-11-09 11:21:11","",0
118648,22,1,10,116,"2017-11-08 17:11:54","",0
40379,3,1,13,173,"2017-11-09 01:21:00","",0
37513,12,1,19,245,"2017-11-07 18:40:22","",0
118512,9,1,26,107,"2017-11-09 12:27:06","",0
26908,55,1,13,453,"2017-11-08 04:12:13","",0
22788,9,1,19,445,"2017-11-07 05:04:40","",0
92599,26,1,13,121,"2017-11-08 21:37:41","",0
35945,13,1,18,477,"2017-11-08 09:14:09","",0
72504,3,1,10,409,"2017-11-07 09:59:38","",0
5098,2,1,28,237,"2017-11-09 02:26:03","",0
36196,7,1,13,101,"2017-11-07 11:25:06","",0
109689,12,1,36,122,"2017-11-08 00:32:22","",0
55117,2,2,13,435,"2017-11-07 16:58:46","",0
25509,2,1,22,377,"2017-11-08 14:30:34","",0
90264,7,1,19,101,"2017-11-09 06:16:21","",0
114939,15,1,13,386,"2017-11-08 01:40:37","",0
43793,3,2,42,115,"2017-11-07 12:21:21","",0
48419,26,1,18,477,"2017-11-09 12:25:53","",0
34848,15,1,13,140,"2017-11-07 16:00:29","",0
159907,12,1,6,265,"2017-11-07 09:44:05","",0
128505,18,1,18,107,"2017-11-08 12:24:34","",0
98052,14,1,19,442,"2017-11-07 01:03:40","",0
92166,25,1,9,259,"2017-11-06 16:49:03","",0
45193,26,1,41,266,"2017-11-09 13:43:23","",0
1755,26,1,19,477,"2017-11-09 07:16:04","",0
57317,26,1,11,266,"2017-11-09 06:14:43","",0
210014,2,1,18,477,"2017-11-07 12:41:15","",0
105128,12,1,13,245,"2017-11-07 13:08:27","",0
106719,24,1,19,178,"2017-11-07 14:12:15","",0
121848,15,1,13,245,"2017-11-08 16:19:41","",0
18753,15,1,19,245,"2017-11-07 16:46:29","",0
40372,3,1,35,280,"2017-11-07 08:55:14","",0
28021,9,1,19,445,"2017-11-07 09:46:50","",0
59295,18,1,32,121,"2017-11-08 04:05:17","",0
50161,15,1,13,245,"2017-11-09 02:16:00","",0
46656,1,1,40,113,"2017-11-06 23:57:50","",0
17485,18,1,53,439,"2017-11-07 14:21:41","",0
112311,2,1,8,377,"2017-11-07 07:25:56","",0
59377,2,1,19,469,"2017-11-07 06:02:20","",0
123181,1,1,28,134,"2017-11-07 15:51:42","",0
6641,3,1,11,280,"2017-11-07 05:48:29","",0
29748,15,1,28,386,"2017-11-07 10:11:48","",0
100971,18,1,8,121,"2017-11-08 15:26:37","",0
81698,3,1,18,424,"2017-11-09 13:48:44","",0
122410,64,1,22,459,"2017-11-06 23:16:56","",0
22866,9,1,23,127,"2017-11-09 13:42:22","",0
27901,3,1,13,280,"2017-11-09 06:35:10","",0
103019,23,1,19,153,"2017-11-08 12:22:38","",0
133684,1,1,30,153,"2017-11-09 14:26:05","",0
53964,9,1,19,466,"2017-11-09 15:49:26","",0
26934,3,1,6,137,"2017-11-09 05:31:52","",0
191509,18,1,13,107,"2017-11-07 00:25:19","",0
109723,2,1,19,205,"2017-11-09 03:29:42","",0
252043,9,1,44,134,"2017-11-09 02:12:47","",0
176997,13,1,47,477,"2017-11-08 05:30:26","",0
35007,11,1,19,481,"2017-11-07 00:15:44","",0
75684,3,1,13,280,"2017-11-08 12:59:03","",0
146464,3,1,37,371,"2017-11-07 01:17:44","",0
78173,3,1,28,280,"2017-11-09 06:13:22","",0
198530,3,1,19,280,"2017-11-09 04:10:02","",0
5038,12,1,13,328,"2017-11-09 06:38:38","",0
99928,9,1,19,244,"2017-11-09 09:01:01","",0
1413,23,1,27,479,"2017-11-08 03:04:13","",0
90387,14,1,15,401,"2017-11-09 14:47:52","",0
125436,1,1,3,134,"2017-11-06 23:45:07","",0
66021,24,1,13,105,"2017-11-07 00:33:35","",0
15879,2,1,25,243,"2017-11-08 02:53:16","",0
110592,14,1,18,379,"2017-11-09 07:25:47","",0
97039,3,1,19,280,"2017-11-09 04:19:55","",0
109211,13,1,13,477,"2017-11-07 18:18:26","",0
111025,7,2,9,101,"2017-11-09 13:30:04","",0
198784,10,1,19,317,"2017-11-08 12:03:46","",0
36934,3,1,22,211,"2017-11-09 08:29:59","",0
35955,2,2,13,477,"2017-11-08 06:16:25","",0
350637,9,1,20,113,"2017-11-09 06:37:50","",0
49602,1,1,13,135,"2017-11-07 07:23:40","",0
112326,12,1,13,140,"2017-11-07 08:18:11","",0
218849,45,1,17,411,"2017-11-08 01:37:24","",0
7283,3,1,18,452,"2017-11-09 15:00:44","",0
42677,2,1,41,243,"2017-11-08 15:05:54","",0
202836,64,1,28,459,"2017-11-06 17:13:49","",0
211576,12,1,18,178,"2017-11-08 16:06:04","",0
59159,2,1,19,452,"2017-11-07 06:29:04","",0
107887,64,1,13,459,"2017-11-08 02:34:33","",0
38941,2,1,19,477,"2017-11-08 16:03:29","",0
59981,13,1,10,469,"2017-11-09 01:32:51","",0
75338,8,1,13,145,"2017-11-08 09:55:33","",0
19870,18,1,184,121,"2017-11-07 08:37:34","",0
9602,14,1,19,439,"2017-11-07 01:58:10","",0
198865,3,1,47,19,"2017-11-07 05:00:31","",0
47199,8,2,19,145,"2017-11-06 23:09:23","",0
70327,3,1,13,280,"2017-11-07 05:42:07","",0
105192,15,1,19,245,"2017-11-08 06:25:01","",0
101863,3,1,7,424,"2017-11-08 05:20:23","",0
137052,20,2,15,259,"2017-11-08 12:05:51","",0
106460,3,1,14,130,"2017-11-08 17:55:44","",0
179388,12,1,37,265,"2017-11-09 15:35:29","",0
90920,14,1,41,439,"2017-11-07 16:44:02","",0
96801,12,1,19,140,"2017-11-08 02:55:51","",0
49652,12,1,8,265,"2017-11-07 14:52:03","",0
18689,18,1,12,134,"2017-11-08 06:31:34","",0
170286,3,1,22,205,"2017-11-09 10:08:39","",0
93027,12,1,13,259,"2017-11-09 08:18:28","",0
80533,9,1,15,334,"2017-11-09 03:49:25","",0
44725,7,1,19,101,"2017-11-09 11:26:06","",0
30636,18,1,18,107,"2017-11-09 06:23:33","",0
112477,2,1,1,122,"2017-11-09 13:48:17","",0
8314,15,1,20,265,"2017-11-07 12:05:52","",0
69503,2,1,15,435,"2017-11-07 09:14:52","",0
118196,3,1,18,280,"2017-11-08 00:57:47","",0
35267,28,1,13,135,"2017-11-09 15:18:39","",0
69127,12,1,6,265,"2017-11-09 03:00:31","",0
83238,15,1,8,138,"2017-11-08 22:47:36","",0
77792,36,1,15,373,"2017-11-08 06:28:16","",0
70346,15,1,19,315,"2017-11-07 06:24:30","",0
45882,3,1,13,424,"2017-11-08 10:01:55","",0
41172,18,1,18,107,"2017-11-08 08:02:29","",0
105560,15,1,8,265,"2017-11-06 22:24:19","",0
72865,21,1,19,128,"2017-11-09 09:54:15","",0
82742,3,1,19,205,"2017-11-07 01:52:29","",0
319292,3,1,10,442,"2017-11-09 03:22:09","",0
94539,18,1,19,439,"2017-11-06 23:39:17","",0
38104,1,1,13,118,"2017-11-07 00:30:31","",0
106223,12,1,19,178,"2017-11-09 05:43:41","",0
103960,18,1,9,121,"2017-11-07 10:34:03","",0
8758,3,1,3,280,"2017-11-07 01:59:38","",0
40204,2,1,13,237,"2017-11-07 17:15:54","",0
44067,9,1,19,442,"2017-11-07 03:43:19","",0
41200,23,1,13,153,"2017-11-09 14:27:03","",0
105433,2,1,37,205,"2017-11-07 00:02:48","",0
84942,9,1,19,234,"2017-11-06 18:25:42","",0
9496,9,1,13,134,"2017-11-08 17:58:49","",0
48703,3,1,13,280,"2017-11-08 13:01:12","",0
42424,9,1,19,466,"2017-11-09 07:54:24","",0
77216,18,3032,607,107,"2017-11-07 01:04:22","",0
72248,15,1,19,140,"2017-11-07 23:48:41","",0
148508,15,1,13,480,"2017-11-09 15:52:18","",0
1016,11,1,13,173,"2017-11-08 01:48:15","",0
209663,2,1,16,205,"2017-11-07 11:12:54","",0
54982,12,1,13,265,"2017-11-08 07:21:57","",0
10410,18,1,20,121,"2017-11-09 05:15:05","",0
52798,14,1,32,349,"2017-11-08 14:33:04","",0
201182,18,1,6,107,"2017-11-08 18:28:54","",0
60215,12,1,6,265,"2017-11-09 15:04:35","",0
114220,3,2,13,130,"2017-11-08 15:40:22","",0
50223,12,2,10,105,"2017-11-08 23:51:01","",0
98565,6,1,20,459,"2017-11-08 08:09:37","",0
65311,2,1,18,452,"2017-11-07 11:20:52","",0
114768,11,1,19,122,"2017-11-08 06:09:10","",0
52679,3,1,3,489,"2017-11-08 11:45:14","",0
79491,15,1,19,386,"2017-11-08 12:32:29","",0
95029,29,2,10,347,"2017-11-09 05:12:37","",0
79857,12,2,6,178,"2017-11-07 08:08:19","",0
50768,9,1,18,258,"2017-11-09 00:50:10","",0
181938,14,1,19,439,"2017-11-08 01:41:59","",0
35733,13,1,13,400,"2017-11-08 00:59:12","",0
68302,14,1,13,439,"2017-11-08 03:05:13","",0
124936,1,1,22,137,"2017-11-09 08:34:09","",0
79827,29,1,19,210,"2017-11-08 11:31:55","",0
126854,18,1,41,107,"2017-11-07 04:12:54","",0
5178,2,1,6,236,"2017-11-09 12:38:30","",0
113354,14,1,19,463,"2017-11-09 11:02:49","",0
115254,9,1,12,466,"2017-11-07 08:08:49","",0
133861,20,1,13,259,"2017-11-08 14:55:38","",0
90626,12,1,19,481,"2017-11-08 00:58:32","",0
106107,18,1,6,376,"2017-11-07 10:18:51","",0
3719,27,1,13,122,"2017-11-09 09:48:03","",0
26238,9,1,19,334,"2017-11-08 14:14:54","",0
5314,3,1,13,442,"2017-11-09 14:35:44","",0
90655,9,1,22,334,"2017-11-07 01:58:45","",0
29078,3,1,13,371,"2017-11-09 06:41:43","",0
14645,3,1,37,402,"2017-11-07 12:09:23","",0
26995,26,1,30,477,"2017-11-09 11:52:35","",0
90905,12,1,19,340,"2017-11-08 22:55:20","",0
41287,9,2,32,215,"2017-11-08 13:28:51","",0
118284,125,0,866,341,"2017-11-09 11:51:59","",0
200705,12,1,15,245,"2017-11-07 06:19:08","",0
5348,21,1,19,128,"2017-11-07 13:08:16","",0
43772,3,1,25,442,"2017-11-07 22:11:50","",0
70446,27,1,13,122,"2017-11-09 01:39:53","",0
77792,9,1,19,127,"2017-11-08 23:48:43","",0
85085,27,1,22,153,"2017-11-08 23:33:34","",0
103052,15,1,47,278,"2017-11-07 23:10:39","",0
91574,2,1,53,205,"2017-11-07 07:41:58","",0
123955,3,1,19,442,"2017-11-07 10:18:48","",0
106035,12,1,17,242,"2017-11-09 05:27:35","",0
199496,3,1,19,379,"2017-11-07 04:11:52","",0
60752,14,1,8,379,"2017-11-08 14:01:10","",0
52691,14,1,28,349,"2017-11-08 22:26:01","",0
284989,15,1,46,265,"2017-11-09 07:52:48","",0
25317,14,1,19,360,"2017-11-08 00:19:18","",0
88875,12,1,9,259,"2017-11-09 06:42:08","",0
78472,14,1,19,489,"2017-11-09 01:25:12","",0
85192,28,1,32,135,"2017-11-08 22:06:30","",0
103090,13,1,15,477,"2017-11-09 10:23:11","",0
108942,14,1,6,480,"2017-11-08 15:25:10","",0
125222,9,2,13,244,"2017-11-09 12:35:27","",0
29002,2,1,19,122,"2017-11-07 13:02:32","",0
190255,2,1,23,236,"2017-11-09 11:00:36","",0
272520,15,1,13,245,"2017-11-07 22:58:01","",0
43793,9,1,26,244,"2017-11-09 11:41:50","",0
332776,2,1,13,219,"2017-11-09 00:28:53","",0
23207,2,1,13,212,"2017-11-07 13:27:16","",0
102917,3,1,13,280,"2017-11-08 11:10:14","",0
22085,3,1,19,130,"2017-11-09 03:29:08","",0
98489,3,1,37,442,"2017-11-07 13:30:11","",0
6454,12,1,8,245,"2017-11-07 16:19:04","",0
31573,3,1,25,379,"2017-11-09 03:14:21","",0
119236,2,1,19,122,"2017-11-07 21:25:56","",0
144604,18,1,8,107,"2017-11-07 08:36:06","",0
51195,3,1,19,409,"2017-11-09 09:22:08","",0
54435,18,1,12,134,"2017-11-09 00:54:56","",0
5314,3,1,37,424,"2017-11-07 23:17:48","",0
16152,3,1,41,280,"2017-11-08 15:35:01","",0
37120,2,1,13,122,"2017-11-09 08:38:44","",0
79769,11,1,2,173,"2017-11-08 11:22:57","",0
5348,1,1,19,377,"2017-11-08 00:21:34","",0
31667,14,1,1,123,"2017-11-07 04:00:45","",0
122411,3,1,19,280,"2017-11-09 06:13:01","",0
303892,12,1,13,205,"2017-11-09 15:13:55","",0
46698,2,1,6,219,"2017-11-09 05:31:00","",0
81287,11,1,17,173,"2017-11-07 04:30:00","",0
152461,15,1,19,245,"2017-11-09 05:08:57","",0
25737,2,2,40,205,"2017-11-07 13:18:08","",0
121851,12,1,13,328,"2017-11-08 02:12:06","",0
97684,3,1,19,280,"2017-11-09 06:16:53","",0
79857,18,1,47,134,"2017-11-08 13:19:24","",0
118728,103,1,35,21,"2017-11-06 16:41:18","",0
89552,1,1,37,377,"2017-11-07 15:45:30","",0
110031,2,1,13,452,"2017-11-08 04:07:15","",0
25135,14,1,19,442,"2017-11-09 08:52:14","",0
175323,1,1,13,134,"2017-11-06 23:54:41","",0
87970,2,1,19,122,"2017-11-08 06:18:17","",0
116625,9,1,13,466,"2017-11-08 10:10:42","",0
110426,3,1,17,280,"2017-11-08 03:30:03","",0
81510,9,1,14,466,"2017-11-09 15:39:19","",0
114597,18,3543,748,107,"2017-11-07 23:35:30","",0
90837,12,1,14,19,"2017-11-09 06:09:43","",0
43855,2,1,13,477,"2017-11-07 03:30:59","",0
108715,12,1,18,124,"2017-11-08 08:51:20","",0
25679,3,1,19,409,"2017-11-08 09:27:10","",0
191797,12,1,13,340,"2017-11-08 16:18:49","",0
67763,15,1,19,480,"2017-11-09 06:11:36","",0
70379,14,1,19,489,"2017-11-07 02:09:06","",0
269985,14,1,19,118,"2017-11-08 13:41:37","",0
119369,64,1,16,459,"2017-11-07 03:37:54","",0
15520,26,1,25,477,"2017-11-08 12:13:30","",0
31429,9,1,6,445,"2017-11-08 12:04:06","",0
52024,3,1,10,424,"2017-11-06 23:03:38","",0
18703,2,1,13,205,"2017-11-06 16:23:49","",0
95820,12,2,9,265,"2017-11-08 10:37:44","",0
3376,15,1,53,386,"2017-11-08 03:37:44","",0
10314,12,1,13,481,"2017-11-09 05:07:01","",0
49585,20,1,19,478,"2017-11-06 22:10:36","",0
227290,9,1,13,442,"2017-11-08 15:01:49","",0
121948,2,1,19,469,"2017-11-07 02:17:09","",0
64268,18,1,13,134,"2017-11-09 09:15:14","",0
84869,8,1,22,145,"2017-11-09 14:56:27","",0
233899,20,1,19,259,"2017-11-07 17:02:37","",0
5721,26,1,8,121,"2017-11-08 04:04:12","",0
77763,18,1,1,107,"2017-11-09 00:55:46","",0
73671,2,1,13,401,"2017-11-07 12:25:43","",0
129673,26,1,14,266,"2017-11-08 03:51:23","",0
38763,12,1,9,265,"2017-11-07 08:25:12","",0
39561,3,1,13,379,"2017-11-07 03:54:40","",0
179253,18,1,15,134,"2017-11-08 21:32:51","",0
67682,21,1,13,128,"2017-11-08 13:26:55","",0
78905,29,1,13,343,"2017-11-08 12:49:59","",0
156944,12,1,9,409,"2017-11-08 09:04:30","",0
20296,3,1,13,153,"2017-11-08 00:09:28","",0
119289,3,1,13,489,"2017-11-07 01:20:51","",0
57425,18,1,17,107,"2017-11-07 10:53:46","",0
5704,2,1,8,469,"2017-11-08 14:13:41","",0
39670,2,1,22,237,"2017-11-08 12:04:53","",0
19510,18,1,866,107,"2017-11-09 07:53:18","",0
32506,12,1,25,19,"2017-11-08 10:23:08","",0
11051,2,1,8,477,"2017-11-09 09:08:13","",0
109310,10,1,13,377,"2017-11-07 08:10:09","",0
32757,2,1,13,219,"2017-11-09 08:35:59","",0
25679,183,3543,748,347,"2017-11-07 16:41:01","",0
179006,18,1,10,107,"2017-11-07 07:30:39","",0
29993,2,1,19,477,"2017-11-08 03:46:53","",0
89722,9,1,18,232,"2017-11-07 13:33:37","",0
66172,13,1,19,477,"2017-11-08 15:19:00","",0
100176,8,1,43,145,"2017-11-09 09:56:53","",0
5314,21,2,19,128,"2017-11-08 10:11:48","",0
153181,23,1,13,153,"2017-11-07 15:57:04","",0
101240,2,1,22,435,"2017-11-08 08:16:33","",0
14477,18,1,19,439,"2017-11-07 14:06:10","",0
25553,2,2,20,205,"2017-11-09 07:00:12","",0
41313,15,2,9,315,"2017-11-07 02:22:39","",0
49602,12,1,19,265,"2017-11-08 11:51:12","",0
105475,64,1,19,459,"2017-11-07 10:41:50","",0
111219,9,1,19,442,"2017-11-09 13:36:34","",0
144495,2,1,18,477,"2017-11-07 15:58:16","",0
39861,3,1,13,280,"2017-11-07 05:40:25","",0
19370,9,1,19,445,"2017-11-09 14:18:28","",0
8595,1,1,16,135,"2017-11-06 16:58:33","",0
105058,14,1,11,123,"2017-11-08 04:54:57","",0
97716,15,1,15,3,"2017-11-07 09:14:12","",0
53960,12,1,18,212,"2017-11-09 13:01:52","",0
83595,3,1,19,19,"2017-11-08 07:16:36","",0
33943,1,1,18,137,"2017-11-06 23:17:23","",0
296958,9,1,19,127,"2017-11-08 16:58:45","",0
73516,3,1,19,280,"2017-11-09 04:04:19","",0
123945,21,1,6,128,"2017-11-07 02:46:18","",0
112681,2,1,47,122,"2017-11-08 04:08:33","",0
111025,12,2,13,265,"2017-11-08 11:40:59","",0
53454,18,1,19,107,"2017-11-08 12:45:53","",0
2076,2,1,19,237,"2017-11-07 07:27:04","",0
9841,12,1,32,265,"2017-11-07 05:01:41","",0
123994,8,1,17,145,"2017-11-07 03:20:49","",0
33156,2,1,13,477,"2017-11-07 03:12:50","",0
45757,12,1,22,259,"2017-11-09 04:00:31","",0
77127,3,1,12,280,"2017-11-08 11:02:07","",0
102206,3,1,19,280,"2017-11-08 11:24:55","",0
25373,9,1,18,134,"2017-11-08 22:05:34","",0
83699,18,3543,748,107,"2017-11-08 07:24:00","",0
48170,1,1,16,134,"2017-11-08 12:29:44","",0
29993,18,1,18,107,"2017-11-07 23:57:46","",0
119723,10,1,19,377,"2017-11-09 04:21:34","",0
116366,14,1,10,439,"2017-11-08 17:06:15","",0
124470,9,1,19,466,"2017-11-09 15:08:14","",0
14342,3,1,13,115,"2017-11-09 12:03:10","",0
120185,12,1,15,265,"2017-11-08 07:49:04","",0
56754,8,2,11,259,"2017-11-07 23:32:35","",0
6269,2,1,53,477,"2017-11-07 03:30:44","",0
88024,2,1,19,212,"2017-11-07 15:15:36","",0
100383,3,1,19,280,"2017-11-08 01:08:56","",0
66003,15,1,13,3,"2017-11-08 06:41:26","",0
29611,2,1,31,212,"2017-11-07 07:42:43","",0
100494,64,1,8,459,"2017-11-07 13:32:03","",0
53454,12,1,13,259,"2017-11-08 04:58:59","",0
7528,12,1,13,135,"2017-11-08 14:55:57","",0
32286,8,1,19,145,"2017-11-09 07:42:41","",0
